Revenue,Duration,Score,genre,,,,,,,,
2787965087,162,7.2,28,,,,,,,,
961000000,169,6.9,12,,,,,,,,
880674609,148,6.3,28,,,,,,,,
1084939099,165,7.6,28,,,,,,,,
284139100,132,6.1,28,,,,,,,,
890871626,139,5.9,14,,,,,,,,
591794936,100,7.4,16,,,,,,,,
1405403694,141,7.3,28,,,,,,,,
933959197,153,7.4,12,,,,,,,,
873260194,151,5.7,28,,,,,,,,
391081192,154,5.4,12,,,,,,,,
586090727,106,6.1,12,,,,,,,28,Action
1065659812,151,7,12,,,,,,,12,Adventure
89289910,149,5.9,28,,,,,,,16,Animation
662845518,143,6.5,28,,,,,,,35,Comedy
419651413,150,6.3,12,,,,,,,80,Crime
1519557910,143,7.4,878,,,,,,,99,Documentary
1045713802,136,6.4,12,,,,,,,18,Drama
624026776,106,6.2,28,,,,,,,10751,Family
956019788,144,7.1,28,,,,,,,14,Fantasy
752215857,136,6.5,28,,,,,,,36,History
310669540,140,6.2,28,,,,,,,27,Horror
958400000,161,7.6,12,,,,,,,10402,Music
372234864,113,5.8,12,,,,,,,9648,Mystery
550000000,187,6.6,12,,,,,,,10749,Romance
1845034188,194,7.5,18,,,,,,,878,Science Fiction
1153304495,147,7.1,12,,,,,,,10770,TV Movie
303025485,131,5.5,53,,,,,,,53,Thriller
1513528810,124,6.5,28,,,,,,,10752,War
1108561013,143,6.9,28,,,,,,,37,Western
783766341,127,6.7,28,,,,,,,,
1215439994,130,6.8,28,,,,,,,,
1025491110,108,6.4,10751,,,,,,,,
459359555,104,6.3,12,,,,,,,,
743559607,104,7,16,,,,,,,,
836297228,150,6,878,,,,,,,,
1091405097,165,5.8,878,,,,,,,,
491868548,130,5.7,14,,,,,,,,
705717432,142,6.5,28,,,,,,,,
400062763,125,6.3,12,,,,,,,,
559852396,106,5.8,16,,,,,,,,
219851172,114,5.1,12,,,,,,,,
1066969703,103,7.6,16,,,,,,,,
371353001,115,5.9,28,,,,,,,,
1506249360,137,7.3,28,,,,,,,,
531865000,116,6.7,28,,,,,,,,
747862775,131,7.5,28,,,,,,,,
467365246,132,7.4,28,,,,,,,,
197687603,114,5.5,28,,,,,,,,
351040419,143,7.3,18,,,,,,,,
335154643,116,6.2,12,,,,,,,,
407602906,131,6.7,28,,,,,,,,
1123746996,154,6.1,28,,,,,,,,
786636033,122,5.7,12,,,,,,,,
331926147,93,6.6,12,,,,,,,,
538983207,93,6.7,16,,,,,,,,
343471816,122,6.6,28,,,,,,,,
521311860,98,7.8,16,,,,,,,,
258022233,91,6.1,28,,,,,,,,
769653595,158,5.6,28,,,,,,,,
325233863,96,6.6,16,,,,,,,,
183987723,124,5.2,878,,,,,,,,
356743061,109,5.5,28,,,,,,,,
748806957,143,6.7,12,,,,,,,,
543934787,144,6.4,878,,,,,,,,
1004558444,152,8.2,18,,,,,,,,
735099082,96,7.7,16,,,,,,,,
381509870,94,6,16,,,,,,,,
585174222,126,7.4,28,,,,,,,,
185770160,126,7,12,,,,,,,,
222104681,106,5.1,28,,,,,,,,
401128639,112,5.2,12,,,,,,,,
745000000,123,5.9,28,,,,,,,,
173000000,96,5.3,14,,,,,,,,
370541256,113,7.6,28,,,,,,,,
264218220,135,5.9,12,,,,,,,,
302469017,118,5.6,12,,,,,,,,
857611174,94,8,18,,,,,,,,
966550600,106,6.7,10751,,,,,,,,
623933331,124,6.6,12,,,,,,,,
396600000,127,5.8,12,,,,,,,,
758539785,97,7,14,,,,,,,,
710644566,130,7.3,878,,,,,,,,
0,109,4.8,28,,,,,,,,
150962475,119,5.9,18,,,,,,,,
714766572,136,7.6,28,,,,,,,,
752600867,93,6,35,,,,,,,,
209154322,130,6.2,12,,,,,,,,
652105443,102,7.8,12,,,,,,,,
471222889,108,7.1,10751,,,,,,,,
305875730,100,6.4,12,,,,,,,,
389681935,120,4.9,28,,,,,,,,
494878759,98,7.5,14,,,,,,,,
435000000,109,5.9,28,,,,,,,,
773328629,121,7.9,28,,,,,,,,
675120017,169,8.1,12,,,,,,,,
825532764,148,8.1,28,,,,,,,,
77000000,120,6.5,28,,,,,,,,
1021103568,169,7,12,,,,,,,,
207283925,106,6.6,28,,,,,,,,
333932083,166,7.3,14,,,,,,,,
353624124,132,7.1,28,,,,,,,,
653428261,137,6.6,28,,,,,,,,
215283742,109,5.8,14,,,,,,,,
181674817,99,5.5,12,,,,,,,,
299370084,113,6.5,14,,,,,,,,
798958165,93,6,14,,,,,,,,
433677183,123,6.3,28,,,,,,,,
440603537,126,5.8,878,,,,,,,,
415686217,113,6.2,12,,,,,,,,
449220945,183,6.6,36,,,,,,,,
709709780,144,6.6,12,,,,,,,,
167298192,175,5.6,10752,,,,,,,,
938212738,138,7.4,12,,,,,,,,
895921036,157,7.5,12,,,,,,,,
624029371,92,6.2,14,,,,,,,,
585349010,101,6.9,18,,,,,,,,
474968763,115,6.7,12,,,,,,,,
623722818,111,7.5,16,,,,,,,,
374218673,140,7.5,28,,,,,,,,
603900354,89,6.2,10751,,,,,,,,
413106170,105,5.9,12,,,,,,,,
373062864,107,6.2,12,,,,,,,,
424988211,129,6.4,12,,,,,,,,
1274219009,102,7.3,16,,,,,,,,
738599701,138,6.7,12,,,,,,,,
644571402,112,6.8,28,,,,,,,,
378858340,120,7.2,28,,,,,,,,
356613439,138,6.5,53,,,,,,,,
449326618,115,6.6,12,,,,,,,,
309979994,98,6.3,16,,,,,,,,
292817841,88,5.1,14,,,,,,,,
301000000,99,5.5,12,,,,,,,,
245527149,113,5.7,35,,,,,,,,
682330139,131,7.1,28,,,,,,,,
0,102,5.5,18,,,,,,,,
287594577,91,5.7,10751,,,,,,,,
665692281,91,6.7,16,,,,,,,,
318502923,103,4.7,28,,,,,,,,
397850012,126,6.5,12,,,,,,,,
205366737,131,6.4,28,,,,,,,,
38992758,88,5.5,12,,,,,,,,
64459316,85,6,12,,,,,,,,
128388320,111,5.9,12,,,,,,,,
272912430,92,6.7,16,,,,,,,,
497409852,163,6.9,12,,,,,,,,
746921274,93,6.4,16,,,,,,,,
431971116,133,5.8,12,,,,,,,,
229147509,116,5.3,28,,,,,,,,
553799566,151,6.4,28,,,,,,,,
441818803,88,6,28,,,,,,,,
195735876,115,5.5,12,,,,,,,,
521170825,95,6.7,28,,,,,,,,
694713380,133,6.8,28,,,,,,,,
306941670,97,7.1,14,,,,,,,,
202026112,90,5.9,35,,,,,,,,
456758981,154,7.3,18,,,,,,,,
268031828,150,5.6,12,,,,,,,,
385680446,127,7.4,878,,,,,,,,
821708551,121,6.8,14,,,,,,,,
609123048,102,7.6,14,,,,,,,,
150680864,127,5.3,14,,,,,,,,
76932943,121,4.9,28,,,,,,,,
185258983,163,7,28,,,,,,,,
285444603,127,6.3,28,,,,,,,,
245360480,138,5.3,18,,,,,,,,
371876278,110,5.4,12,,,,,,,,
119269486,124,5.7,28,,,,,,,,
85131830,106,5.9,12,,,,,,,,
370569774,124,6.6,28,,,,,,,,
361832400,128,6,12,,,,,,,,
212011111,138,6.9,12,,,,,,,,
829000000,115,6.1,12,,,,,,,,
150406466,100,5.8,16,,,,,,,,
163712074,114,6.1,878,,,,,,,,
183345589,120,6,12,,,,,,,,
532950503,156,7.3,37,,,,,,,,
282570682,96,6.1,16,,,,,,,,
245724603,107,6.6,16,,,,,,,,
373552094,92,6.5,10751,,,,,,,,
442824138,115,7.3,28,,,,,,,,
631744560,90,6.9,12,,,,,,,,
519311965,117,7,878,,,,,,,,
847423452,146,7.4,12,,,,,,,,
368871007,94,6.8,14,,,,,,,,
591739379,116,6.2,12,,,,,,,,
273339556,147,6.3,12,,,,,,,,
554987477,90,6.4,28,,,,,,,,
293329073,100,6.2,28,,,,,,,,
362637473,139,5.6,18,,,,,,,,
371940071,107,6.7,12,,,,,,,,
789804554,141,7.7,12,,,,,,,,
49554002,165,6.3,18,,,,,,,,
243843127,100,5,878,,,,,,,,
354248063,82,6.2,16,,,,,,,,
349424282,97,6.1,12,,,,,,,,
321887208,95,6.7,16,,,,,,,,
976475550,152,7.5,12,,,,,,,,
61648500,96,5.4,14,,,,,,,,
655011224,143,7.5,12,,,,,,,,
752100229,123,6.6,878,,,,,,,,
767820459,149,6.5,53,,,,,,,,
500188435,102,6.3,16,,,,,,,,
407711549,133,6.8,12,,,,,,,,
626137675,130,7.1,28,,,,,,,,
334615000,129,7,12,,,,,,,,
232713139,106,5.6,12,,,,,,,,
261317921,113,7.1,28,,,,,,,,
61698899,102,6.4,12,,,,,,,,
276572938,120,6,28,,,,,,,,
238207122,125,4.2,28,,,,,,,,
345141403,104,6.2,10751,,,,,,,,
544272402,124,6.2,28,,,,,,,,
546388105,123,5.9,12,,,,,,,,
325756637,130,6.2,18,,,,,,,,
289047763,92,5.4,12,,,,,,,,
609016565,127,7.2,12,,,,,,,,
228738393,114,5.2,53,,,,,,,,
415484914,123,5.9,28,,,,,,,,
