budget,revenue,profit,popularity,runtime,vote_average,genres1
237000000,2787965087,2550965087,150.437577,162,7.2,28
300000000,961000000,661000000,139.082615,169,6.9,12
245000000,880674609,635674609,107.376788,148,6.3,28
250000000,1084939099,834939099,112.31295,165,7.6,28
260000000,284139100,24139100,43.926995,132,6.1,28
258000000,890871626,632871626,115.699814,139,5.9,14
260000000,591794936,331794936,48.681969,100,7.4,16
280000000,1405403694,1125403694,134.279229,141,7.3,28
250000000,933959197,683959197,98.885637,153,7.4,12
250000000,873260194,623260194,155.790452,151,5.7,28
270000000,391081192,121081192,57.925623,154,5.4,12
200000000,586090727,386090727,107.928811,106,6.1,12
200000000,1065659812,865659812,145.847379,151,7,12
255000000,89289910,-165710090,49.046956,149,5.9,28
225000000,662845518,437845518,99.398009,143,6.5,28
225000000,419651413,194651413,53.978602,150,6.3,12
220000000,1519557910,1299557910,144.448633,143,7.4,878
380000000,1045713802,665713802,135.413856,136,6.4,12
225000000,624026776,399026776,52.035179,106,6.2,28
250000000,956019788,706019788,120.965743,144,7.1,28
215000000,752215857,537215857,89.866276,136,6.5,28
200000000,310669540,110669540,37.668301,140,6.2,28
250000000,958400000,708400000,94.370564,161,7.6,12
180000000,372234864,192234864,42.990906,113,5.8,12
207000000,550000000,343000000,61.22601,187,6.6,12
200000000,1845034188,1645034188,100.025899,194,7.5,18
250000000,1153304495,903304495,198.372395,147,7.1,12
209000000,303025485,94025485,64.928382,131,5.5,53
150000000,1513528810,1363528810,418.708552,124,6.5,28
200000000,1108561013,908561013,93.004993,143,6.9,28
200000000,783766341,583766341,35.149586,127,6.7,28
200000000,1215439994,1015439994,77.68208,130,6.8,28
200000000,1025491110,825491110,78.530105,108,6.4,10751
210000000,459359555,249359555,3.857526,104,6.3,12
200000000,743559607,543559607,89.186492,104,7,16
150000000,836297228,686297228,21.939663,150,6,878
210000000,1091405097,881405097,116.840296,165,5.8,878
200000000,491868548,291868548,46.985445,130,5.7,14
200000000,705717432,505717432,89.270217,142,6.5,28
170000000,400062763,230062763,73.79505,125,6.3,12
200000000,559852396,359852396,49.98659,106,5.8,16
200000000,219851172,19851172,51.872839,114,5.1,12
200000000,1066969703,866969703,59.995418,103,7.6,16
200000000,371353001,171353001,71.862892,115,5.9,28
190000000,1506249360,1316249360,102.322217,137,7.3,28
200000000,531865000,331865000,81.834855,116,6.7,28
250000000,747862775,497862775,118.078691,131,7.5,28
190000000,467365246,277365246,78.291018,132,7.4,28
195000000,197687603,2687603,43.349855,114,5.5,28
105000000,351040419,246040419,61.196071,143,7.3,18
150000000,335154643,185154643,62.169881,116,6.2,12
180000000,407602906,227602906,56.523205,131,6.7,28
195000000,1123746996,928746996,28.529607,154,6.1,28
185000000,786636033,601636033,75.674458,122,5.7,12
175000000,331926147,156926147,51.692953,93,6.6,12
185000000,538983207,353983207,125.114374,93,6.7,16
185000000,343471816,158471816,65.352913,122,6.6,28
180000000,521311860,341311860,66.390712,98,7.8,16
140000000,258022233,118022233,22.57178,91,6.1,28
